schema_version,sequence,event_time_ns,side,price_ticks,size
1,0,1700000000000000000,ask,499985,14
1,1,1700000000001000000,ask,499953,20
1,2,1700000000002000000,bid,500036,15
1,3,1700000000003000000,ask,500004,15
1,4,1700000000004000000,ask,499955,6
1,5,1700000000005000000,ask,500041,6
1,6,1700000000006000000,ask,499978,18
1,7,1700000000007000000,bid,499964,10
1,8,1700000000008000000,bid,499990,1
1,9,1700000000009000000,ask,500003,24
1,10,1700000000010000000,bid,499977,2
1,11,1700000000011000000,bid,500020,13
1,12,1700000000012000000,bid,500016,8
1,13,1700000000013000000,bid,499976,16
1,14,1700000000014000000,bid,500006,5
1,15,1700000000015000000,ask,499966,6
1,16,1700000000016000000,ask,499983,22
1,17,1700000000017000000,ask,499956,3
1,18,1700000000018000000,ask,499997,21
1,19,1700000000019000000,ask,500009,17
1,20,1700000000020000000,bid,499970,3
1,21,1700000000021000000,bid,499987,7
1,22,1700000000022000000,bid,499989,23
1,23,1700000000023000000,bid,499977,17
1,24,1700000000024000000,ask,499950,13
1,25,1700000000025000000,ask,500019,10
1,26,1700000000026000000,bid,500013,8
1,27,1700000000027000000,ask,500042,6
1,28,1700000000028000000,ask,500042,1
1,29,1700000000029000000,ask,499991,7
1,30,1700000000030000000,bid,500034,21
1,31,1700000000031000000,bid,499996,11
1,32,1700000000032000000,ask,499988,11
1,33,1700000000033000000,bid,499987,21
1,34,1700000000034000000,ask,499964,19
1,35,1700000000035000000,ask,499997,12
1,36,1700000000036000000,ask,499956,24
1,37,1700000000037000000,ask,500016,8
1,38,1700000000038000000,bid,499990,15
1,39,1700000000039000000,bid,499956,1
1,40,1700000000040000000,bid,500046,21
1,41,1700000000041000000,ask,499994,23
1,42,1700000000042000000,bid,500024,8
1,43,1700000000043000000,bid,499997,21
1,44,1700000000044000000,bid,500036,4
1,45,1700000000045000000,bid,499981,16
1,46,1700000000046000000,bid,499971,18
1,47,1700000000047000000,ask,499962,22
1,48,1700000000048000000,ask,499990,24
1,49,1700000000049000000,ask,499997,5
1,50,1700000000050000000,ask,500023,6
1,51,1700000000051000000,ask,499968,10
1,52,1700000000052000000,bid,499950,7
1,53,1700000000053000000,bid,500044,1
1,54,1700000000054000000,bid,500021,9
1,55,1700000000055000000,ask,499967,19
1,56,1700000000056000000,bid,500031,7
1,57,1700000000057000000,ask,500006,13
1,58,1700000000058000000,bid,499950,18
1,59,1700000000059000000,ask,500040,14
1,60,1700000000060000000,ask,499990,7
1,61,1700000000061000000,bid,499994,13
1,62,1700000000062000000,ask,500012,1
1,63,1700000000063000000,bid,499978,11
1,64,1700000000064000000,bid,499984,18
1,65,1700000000065000000,ask,500012,9
1,66,1700000000066000000,ask,499971,3
1,67,1700000000067000000,ask,500045,16
1,68,1700000000068000000,bid,499978,9
1,69,1700000000069000000,bid,499998,18
1,70,1700000000070000000,ask,499996,8
1,71,1700000000071000000,bid,500027,6
1,72,1700000000072000000,ask,500028,8
1,73,1700000000073000000,ask,500013,21
1,74,1700000000074000000,ask,499994,22
1,75,1700000000075000000,bid,499990,10
1,76,1700000000076000000,bid,500004,13
1,77,1700000000077000000,ask,500035,16
1,78,1700000000078000000,bid,500026,2
1,79,1700000000079000000,bid,499971,24
1,80,1700000000080000000,bid,499967,11
1,81,1700000000081000000,ask,500021,17
1,82,1700000000082000000,ask,500022,8
1,83,1700000000083000000,bid,499962,21
1,84,1700000000084000000,ask,500034,8
1,85,1700000000085000000,bid,499964,21
1,86,1700000000086000000,ask,499979,20
1,87,1700000000087000000,bid,499966,9
1,88,1700000000088000000,bid,499951,21
1,89,1700000000089000000,ask,499967,22
1,90,1700000000090000000,bid,499994,20
1,91,1700000000091000000,bid,499962,24
1,92,1700000000092000000,bid,499973,3
1,93,1700000000093000000,ask,500006,4
1,94,1700000000094000000,ask,500012,21
1,95,1700000000095000000,bid,499956,8
1,96,1700000000096000000,bid,499962,15
1,97,1700000000097000000,bid,499991,3
1,98,1700000000098000000,ask,500050,23
1,99,1700000000099000000,ask,499954,3
1,100,1700000000100000000,ask,500049,23
1,101,1700000000101000000,bid,500028,21
1,102,1700000000102000000,ask,500034,4
1,103,1700000000103000000,ask,500040,18
1,104,1700000000104000000,bid,500013,18
1,105,1700000000105000000,bid,499957,6
1,106,1700000000106000000,ask,499974,17
1,107,1700000000107000000,bid,499960,22
1,108,1700000000108000000,bid,499959,21
1,109,1700000000109000000,ask,499983,7
1,110,1700000000110000000,bid,500032,3
1,111,1700000000111000000,ask,500007,13
1,112,1700000000112000000,ask,500050,3
1,113,1700000000113000000,bid,500017,7
1,114,1700000000114000000,ask,500018,21
1,115,1700000000115000000,ask,499979,22
1,116,1700000000116000000,ask,499972,15
1,117,1700000000117000000,ask,499983,10
1,118,1700000000118000000,bid,500039,2
1,119,1700000000119000000,ask,499980,22
1,120,1700000000120000000,bid,499999,3
1,121,1700000000121000000,bid,500039,24
1,122,1700000000122000000,ask,499961,22
1,123,1700000000123000000,ask,500024,2
1,124,1700000000124000000,ask,499952,19
1,125,1700000000125000000,ask,499994,16
1,126,1700000000126000000,bid,500023,21
1,127,1700000000127000000,ask,500022,7
1,128,1700000000128000000,ask,499957,5
1,129,1700000000129000000,ask,499970,17
